renda_mensal,valor_solicitado,prazo_meses,taxa_juros_mensal,parcela_estimada,comprometimento_renda,score_credito,atrasos_12m,tempo_emprego_meses,reserva_meses,outros_creditos,relacao_credito_renda,finalidade,moradia,inadimplente
6281.34,4197.14,24,1.839,217.87,3.47,762,0,22,3.2,2,0.056,Crédito pessoal,Financiada,0
2728.82,19462.73,36,1.56,710.73,26.05,907,0,58,1.0,1,0.594,Crédito pessoal,Familiar,0
8280.79,2769.59,48,1.804,86.72,1.05,526,3,35,4.1,1,0.028,Financiamento de veículo,Própria,0
9316.7,18757.31,18,1.658,1213.83,13.03,531,2,21,2.8,2,0.168,Reforma ou serviços,Alugada,0
1551.18,13532.27,24,1.696,691.07,44.55,720,0,14,2.0,1,0.727,Crédito pessoal,Própria,1
2319.4,12802.92,48,1.037,339.98,14.66,668,0,49,2.8,1,0.46,Financiamento de veículo,Alugada,0
5628.93,17483.24,18,1.797,1145.48,20.35,599,2,22,0.2,0,0.259,Educação,Própria,0
4274.16,11797.06,6,3.712,2229.34,52.16,412,3,48,1.5,2,0.23,Crédito pessoal,Própria,1
5146.11,13055.12,18,0.55,763.77,14.84,874,0,50,0.7,2,0.211,Educação,Alugada,0
3064.15,11836.05,36,1.577,433.39,14.14,767,1,6,1.7,0,0.322,Reforma ou serviços,Própria,0
8970.0,16966.39,12,0.559,1465.75,16.34,859,1,27,3.3,1,0.158,Reforma ou serviços,Própria,0
8422.36,1891.48,12,1.577,174.24,2.07,902,0,49,1.9,1,0.019,Consolidação de dívidas,Própria,0
5417.3,13322.0,24,2.219,721.96,13.33,652,0,35,1.3,1,0.205,Consolidação de dívidas,Alugada,0
10459.89,24902.62,24,1.531,1247.69,11.93,793,0,159,0.6,0,0.198,Consolidação de dívidas,Financiada,0
6948.42,8324.17,48,2.389,293.28,4.22,663,0,236,2.3,1,0.1,Consolidação de dívidas,Financiada,0
3052.31,19533.87,24,0.878,906.19,29.69,711,0,46,3.5,2,0.533,Educação,Própria,0
6535.73,29199.71,48,1.258,814.02,12.45,926,0,34,0.3,0,0.372,Crédito pessoal,Financiada,0
2869.54,7635.3,24,0.714,347.31,12.1,686,0,66,3.4,0,0.222,Financiamento de veículo,Financiada,0
8964.73,15306.85,36,2.145,614.62,6.86,737,0,12,4.2,2,0.142,Consolidação de dívidas,Financiada,0
5041.5,5271.23,24,1.063,250.01,4.96,649,1,85,3.2,0,0.087,Financiamento de veículo,Própria,0
4636.89,13092.09,12,1.521,1201.82,25.92,575,1,50,4.7,1,0.235,Financiamento de veículo,Familiar,1
3409.22,9207.99,6,0.62,1568.15,46.0,868,0,83,1.0,3,0.225,Reforma ou serviços,Financiada,0
11096.55,10221.05,18,3.123,750.88,6.77,498,1,85,4.3,0,0.077,Crédito pessoal,Própria,0
4724.92,10602.74,12,3.198,1077.83,22.81,491,3,58,4.8,2,0.187,Reforma ou serviços,Alugada,0
3987.22,20344.21,36,0.55,624.46,15.66,884,0,23,0.3,2,0.425,Financiamento de veículo,Própria,0
4180.1,13302.35,48,2.109,443.36,10.61,497,1,38,2.0,4,0.265,Financiamento de veículo,Familiar,0
7233.26,19583.28,24,1.586,987.52,13.65,607,1,92,1.9,0,0.226,Educação,Alugada,0
6522.34,4521.55,12,1.785,421.94,6.47,696,0,31,5.0,1,0.058,Crédito pessoal,Alugada,0
6716.4,18981.78,12,2.897,1895.23,28.22,537,1,65,11.1,2,0.236,Crédito pessoal,Financiada,0
6792.15,4418.24,24,0.55,197.02,2.9,847,0,29,3.2,1,0.054,Educação,Própria,0
